Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
A role is created and owns 2 tables. This role is then dropped. Who will now own the two tables?,multiple-choice,A. The tables are now orphaned,B. The user that deleted the role,C. SYSADMIN,D. The assumed role that dropped the role,,,,,,,,,,,,4,"D Ownership of any objects owned by the dropped role is transferred to the role that executes the DROP ROLE command. To transfer ownership of each of these objects to a different role, use GRANT OWNERSHIP … COPY CURRENT GRANTS.
D is the RIGHT ANSWER  https://docs.snowflake.com/en/sql-reference/sql/drop-role#usage-notes  Ownership of any objects owned by the dropped role is transferred to the role that executes the DROP ROLE command. To transfer ownership of each of these objects to a different role, use GRANT OWNERSHIP … COPY CURRENT GRANTS.",
Which of the following connectors are available in the Downloads section of the Snowflake Web Interface (UI)? (Choose two.),multi-select,A. SnowSQL,B. ODBC,C. R,D. HIVE,,,,,,,,,,,,"1, 2","AB, but I think that ODBC is not a connector. It is a driver.
AB - Snow SQL and ODBC https://docs.snowflake.com/en/user-guide/snowflake-client-repository.html",
Which of the following DML commands isn't supported by Snowflake?,multiple-choice,A. UPSERT,B. MERGE,C. UPDATE,D. TRUNCATE TABLE,,,,,,,,,,,,1,"There is nothing called UPSERT in snowflake. MERGE = UPDATE+INSERT+DELETE. Also, unlike other databases TRUNCATE is considered DML in snowflake.
https://docs.snowflake.com/en/sql-reference/sql-dml.html",
Which of the following statements is true of zero-copy cloning?,multiple-choice,A. Zero-copy clones increase storage costs as cloning the table requires storing its data twice,B. All zero-copy clone objects inherit the privileges of their original objects,C. Zero-copy cloning is licensed as an additional Snowflake feature,"D. At the instance/instant a clone is created, all micro-partitions in the original table and the clone are fully shared",,,,,,,,,,,,4,"D is correct, but take into account that if the cloned or the original table make any change to the data, this change does not affect the other table. They are independent objects
From: https://docs.snowflake.com/en/sql-reference/sql/create-clone.html -- If the COPY GRANTS keywords are used, then the new object inherits any explicit access privileges granted on the original table but does not inherit any future grants defined for the object type in the schema.  If the COPY GRANTS keywords are not used, then the new object clone does not inherit any explicit access privileges granted on the original table but does inherit any future grants defined for the object type in the schema (using the GRANT <privileges> … TO ROLE … ON FUTURE syntax). Answer: D",
"True or False: When a user creates a role, they are initially assigned ownership of the role and they maintain ownership until it is transferred to another user.",multiple-choice,A. True,B. False,,,,,,,,,,,,,,1,"The statement is True.

When a user (or more precisely, the role active for that user) creates a new role in Snowflake, that role (the creator) is initially granted ownership (OWNERSHIP) of the newly created role. This ownership allows the creator to manage the new role, including granting it to other users or roles, or transferring its ownership to another role. Ownership of a role, like other securable objects, can be transferred to another role using the GRANT OWNERSHIP ON ROLE command.",
The Query History in the Snowflake Web Interface (UI) is kept for approximately:,multiple-choice,A. 60 minutes,B. 24 hours,C. 14 days,D. 30 days,E. 1 year,,,,,,,,,,,3,"QUERY_HISTORY View This Account Usage view can be used to query Snowflake query history by various dimensions (time range, session, user, warehouse, etc.) within the last 365 days (1 year).  The view is available in both the ACCOUNT_USAGE and READER_ACCOUNT_USAGE schemas with the following differences:
Answer should be C (14 days) As per docs - Query History page available under Activity Menu on Web UI, holds query data for 14 days. And you can Query_history view available in Account_Usage schema holds query data for 365 days  https://docs.snowflake.com/en/user-guide/ui-snowsight-activity#query-history https://docs.snowflake.com/en/sql-reference/account-usage/query_history",
"To run a Multi-Cluster Warehouse in auto-scale mode, a user would:",multiple-choice,A. Configure the Maximum Clusters setting to   Auto-Scale  ,B. Set the Warehouse type to   Auto  ,C. Set the Minimum Clusters and Maximum Clusters settings to the same value,D. Set the Minimum Clusters and Maximum Clusters settings to the different values,,,,,,,,,,,,4,"If you set the minimum cluster count less than the maximum cluster count, then the warehouse runs in Auto-scale mode.
The answer is correct as per  Auto-scale:  This mode is enabled by specifying different values for maximum and minimum number of clusters. In this mode, Snowflake starts and stops clusters as needed to dynamically manage the load on the warehouse:  As the number of concurrent user sessions and/or queries for the warehouse increases, and queries start to queue due to insufficient resources, Snowflake automatically starts additional clusters, up to the maximum number defined for the warehouse.  Similarly, as the load on the warehouse decreases, Snowflake automatically shuts down clusters to reduce the number of running clusters and, correspondingly, the number of credits used by the warehouse. refer: https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html",
Which of the following terms best describes Snowflake's database architecture?,multiple-choice,A. Columnar shared nothing,B. Shared disk,"C. Multi-cluster, shared data",D. Cloud-native shared memory,,,,,,,,,,,,3,"Snowflake’s architecture is a hybrid of traditional shared-disk and shared-nothing database architectures. Similar to shared-disk architectures, Snowflake uses a central data repository for persisted data that is accessible from all compute nodes in the platform. Correct answer is C - The storage is shared however the compute is multi clustered https://www.snowflake.com/product/architecture/
Built from the ground up for the cloud, Snowflake’s unique multi-cluster shared data architecture delivers the performance, scale, elasticity, and concurrency today’s organizations require. https://www.snowflake.com/product/architecture/",
Which of the following are options when creating a Virtual Warehouse? (Choose two.),multi-select,A. Auto-drop,B. Auto-resize,C. Auto-resume,D. Auto-suspend,,,,,,,,,,,,"3, 4","The answer is correct. When creating a warehouse, you could assign auto-suspend time from 5 minutes to never and you could tick the auto-resume function ( it is ticked by default). The function means that if you stock use the warehouse, the warehouse will be suspended by your assigned auto suspended time and auto-resume when you start to query
https://help.pentaho.com/Documentation/9.1/Products/Create_Snowflake_warehouse",
A Virtual Warehouse's auto-suspend and auto-resume settings apply to:,multiple-choice,A. The primary cluster in the Virtual Warehouse,B. The entire Virtual Warehouse,C. The database the Virtual Warehouse resides in,D. The queries currently being run by the Virtual Warehouse,,,,,,,,,,,,2,"The answer CORRECT and those settings are applied on the entire VM
https://docs.snowflake.com/en/user-guide/warehouses-overview.html",
Fail-safe is unavailable on which table types? (Choose two.),multi-select,A. Temporary,B. Transient,C. Provisional,D. Permanent,,,,,,,,,,,,"1, 2","Transient and temporary tables have no Fail-safe period. As a result, no additional data storage charges are incurred beyond the Time Travel retention period.
https://docs.snowflake.com/en/user-guide/tables-temp-transient.html",
Which of the following objects is not covered by Time Travel?,multiple-choice,A. Tables,B. Schemas,C. Databases,D. Stages,,,,,,,,,,,,4,"Answer is correct. Restoring data-related objects (tables, schemas, and databases) that might have been accidentally or intentionally deleted.
https://docs.snowflake.com/en/user-guide/data-time-travel.html",
